Joseph R. Biden,451,1039,1802,1238,2401,222160
Michael R. Bloomberg,26,42,76,71,103,6933
Pete Buttigieg,3,2,2,3,7,562
Tulsi Gabbard,3,0,5,9,6,1003
Amy Klobuchar,3,3,4,5,1,440
Deval Patrick,4,1,1,7,2,258
Bernie Sanders,73,141,223,226,380,40657
Tom Steyer,0,4,6,6,5,378
Elizabeth Warren,2,11,13,6,18,1550
Andrew Yang,2,3,5,5,2,450
